10.229.114.134 or-kdr-baibakova4-p1 Байбакова Н.К., д. 4
10.229.121.63 or1-kdr-lukjanenko26-p1 Лукьяненко П.П., д. 26
10.229.121.64 or1-kdr-lukjanenko26-p2 Лукьяненко П.П., д. 26
10.229.121.35 or-kdr-lukjanenko26-p3 Лукьяненко П.П., д. 26
10.229.121.85 or-kdr-lukjanenko28-p2 Лукьяненко П.П., д. 28
10.229.121.47 or-kdr-lukjanenko18-p1 Лукьяненко П.П., д. 18
10.229.121.46 or-kdr-lukjanenko18-p2 Лукьяненко П.П., д. 18
10.229.121.45 or-kdr-lukjanenko18-p3 Лукьяненко П.П., д. 18
10.229.121.44 or-kdr-lukjanenko18-p4 Лукьяненко П.П., д. 18
10.229.121.7 or-kdr-lukjanenko8-p1 Лукьяненко П.П., д. 8
10.229.121.48 or-kdr-lukjanenko8-p2 Лукьяненко П.П., д. 8
10.229.121.34 or-kdr-lukjanenko8-p3 Лукьяненко П.П., д. 8
10.229.121.43 or-kdr-lukjanenko8-p4 Лукьяненко П.П., д. 8
10.229.121.49 or-kdr-lukjanenko8-p5 Лукьяненко П.П., д. 8
10.229.121.50 or-kdr-lukjanenko8-p6 Лукьяненко П.П., д. 8
10.229.121.78 or-kdr-lukjanenko8-p7 Лукьяненко П.П., д. 8
10.229.121.70 or-kdr-lukjanenko95-2 Лукьяненко П.П., д. 95/к.2
10.229.119.54 or-kdr-stavr80-p1 Ставропольская, д. 80
10.229.119.55 or-kdr-stavr80-p2 Ставропольская, д. 80
10.229.119.56 or-kdr-stavr80-p4 Ставропольская, д. 80
10.229.119.51 or-kdr-stavr80-p8 Ставропольская, д. 80
10.229.119.74 or-kdr-stavr96-p2 Ставропольская, д. 96
10.229.119.75 or-kdr-stavr96-p3 Ставропольская, д. 96
10.229.119.53 or-kdr-stavr45-2-p5 Ставропольская, д. 45/к.2
10.229.119.52 or-kdr-stavr45-4-p2 Ставропольская, д. 45/к.4
10.229.116.122 or-kdr-chernob6-p1 Памяти Чернобыльцев, д. 6
10.229.116.123 or-kdr-chernob6-p2 Памяти Чернобыльцев, д. 6
10.229.116.125 or-kdr-chernob8-p1 Памяти Чернобыльцев, д. 8
10.229.116.124 or-kdr-chernob8-p2 Памяти Чернобыльцев, д. 8
10.229.117.148 or-kdr-staso183-1-p1 Стасова, д. 183/к.1
10.229.112.125 or2-kdr-40lp131-p1 40-летия Победы, д. 131
10.229.112.186 or1-kdr-40lp131-p1 40-летия Победы, д. 131
10.229.112.114 or2-kdr-40lp129-p1 40-летия Победы, д. 129
10.229.112.115 or1-kdr-40lp129-p1 40-летия Победы, д. 129
10.229.112.136 or1-kdr-40lp125-p1 40-летия Победы, д. 125
10.229.112.191 or-kdr-40lp127-p1 40-летия Победы, д. 127
10.229.112.116 or1-kdr-40lp127-p1 40-летия Победы, д. 127
10.229.112.194 or1-kdr-40lp133-p1 40-летия Победы, д. 133
10.229.112.130 or-kdr-40lp123-p1 40-летия Победы, д. 123
10.229.112.129 or-kdr-40lp123-p2 40-летия Победы, д. 123
10.229.112.128 or-kdr-40lp123-p3 40-летия Победы, д. 123
10.229.112.192 or-kdr-40lp113-p1 40-летия Победы, д. 113
10.229.120.81 or-kdr-40lp71-p3 40-летия Победы, д. 71
10.229.112.110 or-kdr-40lp111-p1 40-летия Победы, д. 111
10.229.112.107 or-kdr-razved28-p1 Героев-Разведчиков, д. 28
10.229.112.108 or-kdr-razved28-p2 Героев-Разведчиков, д. 28
10.229.112.106 or-kdr-razved28-p3 Героев-Разведчиков, д. 28
10.229.112.105 or-kdr-razved28-p4 Героев-Разведчиков, д. 28
10.229.112.104 or-kdr-razved28-p5 Героев-Разведчиков, д. 28
10.229.112.133 or-kdr-razved26-3-p1 Героев-Разведчиков, д. 26/к.3
10.229.112.203 or-kdr-razved26-4-p4 Героев-Разведчиков, д. 26/к.4
10.229.112.120 or-kdr-razved21-2-p1 Героев-Разведчиков, д. 21/к.2
10.229.112.119 or-kdr-razved21-2-p2 Героев-Разведчиков, д. 21/к.2
10.229.112.199 or-kdr-razved21-2-p3 Героев-Разведчиков, д. 21/к.2
10.229.112.121 or-kdr-razved21-1-p1 Героев-Разведчиков, д. 21/к.1
10.229.112.118 or-kdr-razved21-1-p2 Героев-Разведчиков, д. 21/к.1
10.229.112.122 or-kdr-razved21-1-p3 Героев-Разведчиков, д. 21/к.1
10.229.112.132 or-kdr-averkieva24-p1 Аверкиева А.А., д. 24
10.229.112.196 or-kdr-averkieva24-p2 Аверкиева А.А., д. 24
10.229.112.131 or-kdr-averkieva24-p3 Аверкиева А.А., д. 24
10.229.112.190 lb-kdr-averkieva22-p2 Аверкиева А.А., д. 22
10.228.111.184 op1-kdr-montaj12-1-p1 Монтажников, д. 12/к.1
10.229.119.107 or-pash-sadovaya7-1-p1 Садовая, д. 7/к.1
10.229.116.65 or-kdr-poluyana55-p2 Яна Полуяна, д. 55
10.229.117.130 op-kdr-berez89-p2 Березанская, д. 89
10.229.119.65 or-kdr-nevki8-p1 Невкипелого, д. 8
10.229.119.66 or-kdr-nevki8-p2 Невкипелого, д. 8
10.229.119.33 or-kdr-nevki8-p3 Невкипелого, д. 8
10.229.124.41 lb-kdr-pokryshk4-10-p2 Покрышкина, д. 4/к.10
10.229.124.30 or-kdr-pokryshk4-10-p3 Покрышкина, д. 4/к.10
10.229.124.106 or-kdr-pokryshk4-4-p1 Покрышкина, д. 4/к.4
10.229.124.107 or-kdr-pokryshk4-4-p2 Покрышкина, д. 4/к.4
10.229.124.31 or-kdr-pokryshk4-4-p3 Покрышкина, д. 4/к.4
10.229.124.108 or-kdr-pokryshk4-4-p4 Покрышкина, д. 4/к.4
10.229.124.109 or-kdr-pokryshk4-4-p5 Покрышкина, д. 4/к.4
10.229.124.110 or-kdr-pokryshk4-5-p1 Покрышкина, д. 4/к.5
10.229.124.111 or-kdr-pokryshk4-5-p2 Покрышкина, д. 4/к.5
10.229.124.112 or-kdr-pokryshk4-5-p3 Покрышкина, д. 4/к.5
10.229.124.113 or-kdr-pokryshk4-5-p4 Покрышкина, д. 4/к.5
10.229.120.46 or-kdr-ukr47-p2 Украинская, д. 47
10.229.112.189 or-kdr-vkrug46-b-p1 Восточно-Кругликовская, д. 46/к.Б
10.229.117.138 or-kdr-novgorod11-p3 Новгородская, д. 11
10.229.118.32 or-kdr-dimit137-p3 Димитрова, д. 137
10.229.119.29 lb-kdr-snesareva4-p1 Снесарева, д. 4
10.229.117.183 or1-kdr-prom19-1 Промышленная, д. 19/к.1
10.229.119.67 or-kdr-trudo1-p2 Трудовой Славы, д. 1
10.229.119.8 or-kdr-snesareva4-p2 Снесарева, д. 4
10.229.119.27 lb-kdr-snesareva4-p3 Снесарева, д. 4
10.229.124.114 or-kdr-pokryshk4-5-p5 Покрышкина, д. 4/к.5
10.229.124.119 or-kdr-pokryshk4-9-p1 Покрышкина, д. 4/к.9
10.229.124.120 or-kdr-pokryshk4-9-p2 Покрышкина, д. 4/к.9
10.229.124.121 or-kdr-pokryshk4-9-p3 Покрышкина, д. 4/к.9
10.229.124.122 or-kdr-pokryshk4-9-p4 Покрышкина, д. 4/к.9
10.229.124.99 or-kdr-pokryshk2-1-p1 Покрышкина, д. 2/к.1
10.229.124.100 or-kdr-pokryshk2-1-p2 Покрышкина, д. 2/к.1
10.229.114.141 or-kdr-mosk60-p1 Московская, д. 60
10.229.114.142 or-kdr-mosk60-p6 Московская, д. 60
10.229.114.140 or-kdr-mosk62-p3 Московская, д. 62
10.229.114.139 or-kdr-mosk62-p6 Московская, д. 62
10.229.124.101 or-kdr-pokryshk2-1-p3 Покрышкина, д. 2/к.1
10.229.124.102 or-kdr-pokryshk2-1-p4 Покрышкина, д. 2/к.1
10.229.124.103 or-kdr-pokryshk2-1-p5 Покрышкина, д. 2/к.1
10.229.124.104 or-kdr-pokryshk2-1-p6 Покрышкина, д. 2/к.1
10.229.116.38 or-kdr-repina1-p2 Репина, д. 1
10.229.116.39 or-kdr-repina1-p3 Репина, д. 1
10.229.116.37 or-kdr-repina1-p1 Репина, д. 1
10.229.118.10 or-kdr-kim141-p3 КИМ, д. 141
10.229.118.11 or-kdr-kim141-p6 КИМ, д. 141
10.229.118.12 or-kdr-kim143-1-p1 КИМ, д. 143/к.1
10.229.116.115 or-kdr-turgeneva155-p3 Тургенева, д. 155
10.229.117.162 or-kdr-selez90-p2 Селезнева, д. 90
10.229.116.71 or-kdr-vorov182-p2 Воровского, д. 182
10.229.117.184 or-kdr-70lo12-1 70-летия Октября, д. 12/к.1
10.229.119.100 or-kdr-trudo3-1-p1 Трудовой Славы, д. 3/к.1
10.229.122.46 or-kdr-sormo108-2-p2 Сормовская, д. 108/к.2
10.229.115.17 or-kdr-kalinina350-3-p1 Калинина, д. 350/к.3
10.229.115.16 or-kdr-kalinina350-3-p2 Калинина, д. 350/к.3
10.229.117.143 or-kdr-novoros178-p2 Новороссийская, д. 178
10.229.112.239 or1-kdr-averkieva14-p2 Аверкиева А.А., д. 14
10.229.117.135 or-kdr-novoros182-p2 Новороссийская, д. 182
10.229.119.41 or-kdr-machugi6-p1 Мачуги В.Н., д. 6
10.229.119.42 or-kdr-machugi6-p2 Мачуги В.Н., д. 6
10.229.119.70 or-kdr-machugi6-p3 Мачуги В.Н., д. 6
10.229.119.43 or-kdr-machugi6-p4 Мачуги В.Н., д. 6
10.229.117.187 or1-kdr-70lo32-p2 70-летия Октября, д. 32
10.229.120.58 or-kdr-vkrug80-p1 Восточно-Кругликовская, д. 80
10.229.121.69 or-kdr-temr70-p2 Темрюкская, д. 70
10.229.122.44 or-kdr-sormo189-p5 Сормовская, д. 189
10.229.115.25 or-kdr-kalinina350-5-p1 Калинина, д. 350/к.5
10.229.119.130 or-kdr-gidro32-p3 Гидростроителей, д. 32
10.229.116.218 or-kdr-kazbek7-p1 Казбекская, д. 7
10.229.116.43 or-kdr-turgeneva130-p3 Тургенева, д. 130
10.229.120.79 or-kdr-kurch8-p3 Курчатова, д. 8
10.229.120.116 or-kdr-kolhoz67-p2 Колхозная, д. 67
10.229.115.39 or-kdr-kozhev54-2 Кожевенная, д. 54/к.2
10.228.108.8 or1-kdr-bryanskaya4 Брянская, д. 4
10.229.116.69 or-kdr-turgeneva143-p2 Тургенева, д. 143
10.229.119.31 lb-kdr-snesareva2-p2 Снесарева, д. 2
10.229.120.6 or-kdr-mosk2-1-p1 Московская, д. 2/к.1
10.228.107.245 or-kdr-krasnpar248-p3 Красных Партизан, д. 248
10.229.119.30 lb-kdr-snesareva2-p3 Снесарева, д. 2
10.229.116.13 or-kdr-ciolk5-p1 Циолковского, д. 5
10.229.117.113 or-kdr-gudimi64-1-p2 Гудимы, д. 64/к.1
10.229.116.193 or-kdr-turgeneva179-p2 Тургенева, д. 179
10.229.119.11 or-kdr-trudo5-p1 Трудовой Славы, д. 5
10.229.116.194 lb-kdr-turgeneva179-p4 Тургенева, д. 179
10.229.116.23 or-kdr-repina20-p2 Репина, д. 20
10.229.116.24 or-kdr-repina20-p3 Репина, д. 20
10.229.116.14 or-kdr-repina20-p4 Репина, д. 20
10.229.116.25 lb-kdr-repina20-p5 Репина, д. 20
10.229.116.15 or-kdr-repina22-p1 Репина, д. 22
10.229.116.16 lb-kdr-repina22-p2 Репина, д. 22
10.229.117.4 lb-kdr-rozhdest39-p3 Рождественская Набережная, д. 39
10.229.116.18 lb-kdr-repina22-p4 Репина, д. 22
10.229.116.19 lb-kdr-repina22-p5 Репина, д. 22
10.229.116.20 lb-kdr-repina22-p6 Репина, д. 22
10.229.116.21 or-kdr-repina22-p7 Репина, д. 22
10.229.119.63 or-kdr-nevki12-p1 Невкипелого, д. 12
10.229.116.26 or-kdr-repina38-p1 Репина, д. 38
10.229.116.27 or-kdr-repina38-p2 Репина, д. 38
10.229.116.28 lb-kdr-repina38-p3 Репина, д. 38
10.229.116.29 lb-kdr-repina38-p4 Репина, д. 38
10.229.116.213 lb-kdr-repina24-p1 Репина, д. 24
10.229.116.182 or-kdr-repina24-p2 Репина, д. 24
10.229.116.181 lb-kdr-repina24-p3 Репина, д. 24
10.229.116.185 lb-kdr-repina28-p1 Репина, д. 28
10.229.116.184 lb-kdr-repina28-p2 Репина, д. 28
10.229.116.178 or-kdr-repina28-p3 Репина, д. 28
10.229.116.183 lb-kdr-repina28-p4 Репина, д. 28
10.229.116.179 or-kdr-repina28-p5 Репина, д. 28
10.229.116.180 or-kdr-repina28-p6 Репина, д. 28
10.229.116.173 lb-kdr-repina32-p1 Репина, д. 32
10.229.116.174 lb-kdr-repina32-p2 Репина, д. 32
10.229.116.175 or-kdr-repina32-p3 Репина, д. 32
10.229.116.176 or-kdr-repina32-p4 Репина, д. 32
10.229.116.177 or-kdr-repina32-p5 Репина, д. 32
10.229.115.34 or-kdr-kozhev26-p1 Кожевенная, д. 26
10.229.115.36 or-kdr-kozhev26-p2 Кожевенная, д. 26
10.229.115.47 or-kdr-kozhev26-p3 Кожевенная, д. 26
10.229.115.46 or-kdr-kozhev26-p4 Кожевенная, д. 26
10.229.118.4 lb-kdr-burgas56-p2 Бургасская, д. 56
10.229.116.30 or-kdr-repina34-p1 Репина, д. 34
10.229.116.31 or-kdr-repina34-p2 Репина, д. 34
10.229.116.32 or-kdr-repina34-p3 Репина, д. 34
10.229.116.33 or-kdr-repina34-p4 Репина, д. 34
10.229.116.34 lb-kdr-repina34-p5 Репина, д. 34
10.229.117.151 or-kdr-taganrog5-p2 Таганрогская, д. 5
10.229.115.7 or-kdr-kozhev30-p1 Кожевенная, д. 30
10.229.115.6 lb-kdr-kozhev30-p2 Кожевенная, д. 30
10.229.115.5 or-kdr-kozhev30-p3 Кожевенная, д. 30
10.229.115.44 or-kdr-kalinina350-4-p1 Калинина, д. 350/к.4
10.229.115.15 or-kdr-kalinina350-4-p2 Калинина, д. 350/к.4
10.229.115.14 or-kdr-kalinina350-4-p3 Калинина, д. 350/к.4
10.229.116.64 or-kdr-poluyana57-p2 Яна Полуяна, д. 57
10.229.120.56 or-kdr-yasnopol13-p2 Яснополянская, д. 13
10.229.118.8 or-kdr-burgas56-1-p2 Бургасская, д. 56/к.1
10.229.117.123 or-kdr-gimnaz60-p1 Гимназическая, д. 60
10.229.117.122 or-kdr-gimnaz60-p2 Гимназическая, д. 60
10.229.117.119 or-kdr-lenina70-p7 Ленина, д. 70
10.229.116.12 or-kdr-ciolk7-p1 Циолковского, д. 7
10.229.117.133 or1-kdr-kalinina13-51 Калинина, д. 13/к.51
10.229.119.58 or-kdr-snesareva8-p1 Снесарева, д. 8
10.229.118.14 or-kdr-staro109-p2 Старокубанская, д. 109
10.229.119.9 or-kdr-snesareva8-p2 Снесарева, д. 8
10.229.119.28 lb-kdr-snesareva8-p3 Снесарева, д. 8
10.229.119.112 or-kdr-snesareva8-p4 Снесарева, д. 8
10.229.117.153 lb-kdr-novoros186-p2 Новороссийская, д. 186
10.229.120.8 or-kdr-dombai7-p1 Домбайская, д. 7
10.229.120.10 or-kdr-vologod3-p1 Вологодская, д. 3
10.229.117.152 or-kdr-taganrog16-p2 Таганрогская, д. 16
10.229.116.63 or1-kdr-ishunina8-p2 Архитектора Ишунина, д. 8
10.229.117.137 or-kdr-novoros180-p2 Новороссийская, д. 180
10.229.117.140 or-kdr-novoros192-p2 Новороссийская, д. 192
10.229.112.249 or-kdr-averkieva6-p2 Аверкиева А.А., д. 6
10.229.112.135 sd-kdr-averkieva1-p2 Аверкиева А.А., д. 1
10.229.112.112 or-kdr-averkieva1-p8 Аверкиева А.А., д. 1
10.229.119.48 or-kdr-parus20-p1 Парусная, д. 20
10.229.119.49 or-kdr-parus20-p2 Парусная, д. 20
10.229.119.44 or-kdr-parus20-p3 Парусная, д. 20
10.229.119.50 or-kdr-parus20-p4 Парусная, д. 20
10.229.119.40 or-kdr-parus20-1-p2 Парусная, д. 20/к.1
10.229.119.45 or-kdr-parus20-2-p2 Парусная, д. 20/к.2
10.229.119.47 or-kdr-parus20-2-p3 Парусная, д. 20/к.2
10.229.119.73 or-kdr-parus20-2-p4 Парусная, д. 20/к.2
10.229.119.14 or-kdr-parus20-2-p5 Парусная, д. 20/к.2
10.229.119.39 or-kdr-parus20-3-p1 Парусная, д. 20/к.3
10.229.119.37 or-kdr-parus20-3-p2 Парусная, д. 20/к.3
10.229.119.12 or-kdr-parus20-3-p3 Парусная, д. 20/к.3
10.229.119.38 or-kdr-parus20-3-p4 Парусная, д. 20/к.3
10.229.119.13 or-kdr-parus20-3-p5 Парусная, д. 20/к.3
10.229.117.111 or-kdr-gudimi54-p5 Гудимы, д. 54
10.229.120.9 or-kdr-dombai5-p1 Домбайская, д. 5
10.229.120.78 or-kdr-vkrug74-p2 Восточно-Кругликовская, д. 74
10.229.120.77 or-kdr-vkrug74-p6 Восточно-Кругликовская, д. 74
10.228.107.11 or-kdr-kommunarov286 Коммунаров, д. 286
10.229.117.83 or1-kdr-rozhdest51-p7 Рождественская Набережная, д. 51
10.229.115.23 or-kdr-kalinina350-p1 Калинина, д. 350
10.228.109.235 or-kdr-oficer52-p2 Офицерская, д. 52
10.229.115.24 or-kdr-kalinina350-p2 Калинина, д. 350
10.229.112.5 or-kdr-vkrug48-p1 Восточно-Кругликовская, д. 48
10.229.117.128 op-kdr-prom94-p2 Промышленная, д. 94
10.229.120.131 or2-kdr-ippodrom53-p2 Ипподромная, д. 53
10.229.120.47 or-kdr-ippodrom53-p2 Ипподромная, д. 53
10.229.120.7 or1-kdr-ippodrom53-p5 Ипподромная, д. 53
10.229.120.50 or2-kdr-ippodrom53-p5 Ипподромная, д. 53
10.229.120.68 or1-kdr-ippodrom53-p8 Ипподромная, д. 53
10.229.120.69 or2-kdr-ippodrom53-p8 Ипподромная, д. 53
10.229.115.22 or-kdr-kalinina350-11-p1 Калинина, д. 350/к.11
10.229.115.31 or-kdr-kozhev28-p1 Кожевенная, д. 28
10.229.115.35 or-kdr-kozhev28-p2 Кожевенная, д. 28
10.229.115.33 or-kdr-kozhev28-p3 Кожевенная, д. 28
10.229.115.32 or-kdr-kozhev28-p4 Кожевенная, д. 28
10.229.117.68 or1-kdr-chekistov39-p1 Чекистов, д. 39
10.229.120.95 or-kdr-yasnopol15-p2 Яснополянская, д. 15
10.229.120.73 or-kdr-vkrug94-p2 Восточно-Кругликовская, д. 94
10.229.120.48 or-kdr-ippodrom49-p1 Ипподромная, д. 49
10.229.120.49 or-kdr-ippodrom49-p3 Ипподромная, д. 49
10.229.120.66 or-kdr-ippodrom49-p5 Ипподромная, д. 49
10.229.120.93 or-kdr-ippodrom49-p7 Ипподромная, д. 49
10.229.116.62 or-kdr-kazbek9-p1 Казбекская, д. 9
10.229.115.42 or-kdr-kozhev54-1 Кожевенная, д. 54/к.1
10.229.119.109 or-pash-sadovaya5-2-p2 Садовая, д. 5/к.2
10.229.122.55 or-kdr-irkut3-p2 30-й Иркутской Дивизии, д. 3
10.228.107.69 or-kdr-montaj12-p2 Монтажников, д. 12
10.229.115.19 or-kdr-kalinina350-9-p1 Калинина, д. 350/к.9
10.229.112.126 or-kdr-razved22-p1 Героев-Разведчиков, д. 22
10.229.119.59 or-kdr-nevki16-p2 Невкипелого, д. 16
10.229.119.64 or-kdr-nevki12-p2 Невкипелого, д. 12
10.229.115.20 or-kdr-kalinina350-9-p2 Калинина, д. 350/к.9
10.229.116.61 or-kdr-kazbek9-p2 Казбекская, д. 9
10.229.115.13 or-kdr-kalinina350-6-p2 Калинина, д. 350/к.6
10.229.115.48 or-kdr-kalinina350-7-p3 Калинина, д. 350/к.7
10.229.115.18 or-kdr-kalinina350-10-p1 Калинина, д. 350/к.10
10.229.115.21 or-kdr-kalinina350-10-p2 Калинина, д. 350/к.10
10.229.115.10 or-kdr-kalinina350-8-p1 Калинина, д. 350/к.8
10.229.115.11 or-kdr-kalinina350-8-p2 Калинина, д. 350/к.8
10.229.115.26 or-kdr-kalinina350-5-p2 Калинина, д. 350/к.5
10.229.115.27 or-kdr-kalinina350-5-p3 Калинина, д. 350/к.5
10.228.108.233 or-kdr-shalyapina4-p1 Шаляпина Ф.И., д. 4
10.229.119.36 lb-kdr-vygon20-p2 тер. Выгонная, д. 20
10.229.115.4 or-kdr-kozhev40-p1 Кожевенная, д. 40
10.228.107.39 or-kdr-garazh77-1-p3 Гаражная, д. 77/к.1
10.229.121.73 or-kdr-slav83-p2 Славянская, д. 83
10.229.112.195 or-kdr-razved24-p1 Героев-Разведчиков, д. 24
10.229.112.127 or-kdr-razved24-p2 Героев-Разведчиков, д. 24
10.229.112.187 lb-kdr-razved24-p3 Героев-Разведчиков, д. 24
10.229.118.18 or-kdr-stavr142-p4 Ставропольская, д. 142
10.229.118.17 or-kdr-stavr142-p2 Ставропольская, д. 142
10.229.124.32 or-kdr-rudakova7-37-1-p1 п Рудакова, д. 7/к.37 ЛИТЕР 1
10.229.124.17 lb-kdr-rudakova7-37-1-p2 п Рудакова, д. 7/к.37 ЛИТЕР 1
10.229.124.33 or-kdr-rudakova7-37-1-p3 п Рудакова, д. 7/к.37 ЛИТЕР 1
10.229.118.21 or-kdr-stavr183-1-p5 Ставропольская, д. 183/к.1
10.229.120.13 or-kdr-cherk53-p2 Черкасская, д. 53
10.229.116.221 or-kdr-poluyana28-p3 Яна Полуяна, д. 28
10.229.114.101 lb-kdr-kotlyarova8-p1 Котлярова Н.С., д. 8
10.229.114.100 lb-kdr-kotlyarova8-p2 Котлярова Н.С., д. 8
10.229.119.61 or-kdr-znamenskogo5-p2 Знаменского, д. 5
10.229.119.34 or-kdr-znamenskogo5-p3 Знаменского, д. 5
10.229.117.79 or-kdr-chekistov26-p1 Чекистов, д. 26
10.229.117.80 or-kdr-chekistov26-p2 Чекистов, д. 26
10.229.117.81 or-kdr-chekistov26-p3 Чекистов, д. 26
10.229.117.132 lb-kdr-chekistov4-p5 Чекистов, д. 4
10.228.109.160 or-kdr-angar2-5-p4 Ангарская, д. 2/к.5
10.229.114.56 or-kdr-artush5-p5 Артюшкова В.Д., д. 5
10.229.120.76 or-kdr-vkrug82-p2 Восточно-Кругликовская, д. 82
10.229.120.75 or-kdr-vkrug82-p4 Восточно-Кругликовская, д. 82
10.229.114.144 or-kdr-kotlyarova15-1-p1 Котлярова Н.С., д. 15/к.1
10.229.114.151 lb-kdr-kotlyarova15-1-p2 Котлярова Н.С., д. 15/к.1
10.229.114.150 lb-kdr-kotlyarova15-1-p3 Котлярова Н.С., д. 15/к.1
10.229.114.145 lb-kdr-kotlyarova15-1-p4 Котлярова Н.С., д. 15/к.1
10.229.114.148 or-kdr-baibakova2-1-p1 Байбакова Н.К., д. 2/к.1
10.229.114.149 or-kdr-baibakova2-1-p2 Байбакова Н.К., д. 2/к.1
10.229.114.147 or-kdr-baibakova2-1-p3 Байбакова Н.К., д. 2/к.1
10.229.114.146 or-kdr-baibakova2-1-p4 Байбакова Н.К., д. 2/к.1
10.228.110.36 or2-kdr-esenina108-3-1-p1 Сергея Есенина, д. 108/к.3К1
10.229.124.34 or-kdr-rudakova7-37-4-p1 п Рудакова, д. 7/к.37 ЛИТЕР 4
10.229.114.159 lb-kdr-artush1-p1 Артюшкова В.Д., д. 1
10.229.114.158 or-kdr-artush1-p2 Артюшкова В.Д., д. 1
10.229.114.157 lb-kdr-artush1-p3 Артюшкова В.Д., д. 1
10.229.114.152 or-kdr-zip68-p1 Зиповская, д. 68
10.229.114.153 lb-kdr-zip68-p2 Зиповская, д. 68
10.229.114.154 lb-kdr-zip68-p3 Зиповская, д. 68
10.229.114.156 lb-kdr-zip68-p4 Зиповская, д. 68
10.229.114.155 or-kdr-zip68-p5 Зиповская, д. 68
10.229.116.47 or-kdr-luzana23-p2 Федора Лузана, д. 23
10.229.116.46 or-kdr-luzana23-p3 Федора Лузана, д. 23
10.229.124.28 or-kdr-pokryshk2-2-p1 Покрышкина, д. 2/к.2
10.229.124.29 or-kdr-pokryshk2-2-p3 Покрышкина, д. 2/к.2
10.229.124.14 lb-kdr-pokryshk2-2-p4 Покрышкина, д. 2/к.2
10.229.124.15 lb-kdr-pokryshk2-2-p5 Покрышкина, д. 2/к.2
10.229.124.16 lb-kdr-pokryshk2-2-p6 Покрышкина, д. 2/к.2
10.229.121.23 or-kdr-lukjanenko12-p1 Лукьяненко П.П., д. 12
10.229.121.22 or-kdr-lukjanenko12-p2 Лукьяненко П.П., д. 12
10.229.121.21 or-kdr-lukjanenko12-p3 Лукьяненко П.П., д. 12
10.229.121.88 or-kdr-lukjanenko16-1-p1 Лукьяненко П.П., д. 16/к.1
10.229.121.20 or-kdr-lukjanenko16-1-p2 Лукьяненко П.П., д. 16/к.1
10.229.121.19 or-kdr-lukjanenko16-p1 Лукьяненко П.П., д. 16
10.229.121.18 or-kdr-lukjanenko16-p2 Лукьяненко П.П., д. 16
10.229.120.12 lb-kdr-vkrug88-p1 Восточно-Кругликовская, д. 88
10.229.120.117 lb-kdr-vkrug86-p1 Восточно-Кругликовская, д. 86
10.229.112.206 or-kdr-razved26-p1 Героев-Разведчиков, д. 26
10.229.112.137 sd-kdr-razved26-p2 Героев-Разведчиков, д. 26
10.229.112.143 sd-kdr-razved26-p3 Героев-Разведчиков, д. 26
10.229.112.144 or-kdr-razved26-p4 Героев-Разведчиков, д. 26
10.229.112.138 sd-kdr-razved26-1-p1 Героев-Разведчиков, д. 26/к.1
10.229.112.139 sd-kdr-razved26-1-p2 Героев-Разведчиков, д. 26/к.1
10.229.112.140 or-kdr-razved26-1-p3 Героев-Разведчиков, д. 26/к.1
10.229.112.142 or-kdr-razved26-1-p4 Героев-Разведчиков, д. 26/к.1
10.229.112.141 sd-kdr-razved26-1-p5 Героев-Разведчиков, д. 26/к.1
10.229.112.151 sd-kdr-razved30-p1 Героев-Разведчиков, д. 30
10.229.112.150 or-kdr-razved30-p2 Героев-Разведчиков, д. 30
10.229.112.149 or-kdr-razved30-p3 Героев-Разведчиков, д. 30
10.229.112.148 sd-kdr-razved30-p4 Героев-Разведчиков, д. 30
10.229.112.153 sd-kdr-razved32-p1 Героев-Разведчиков, д. 32
10.229.112.219 or-kdr-razved32-p2 Героев-Разведчиков, д. 32
10.229.112.152 or-kdr-razved32-p3 Героев-Разведчиков, д. 32
10.229.112.145 or-kdr-razved34-p1 Героев-Разведчиков, д. 34
10.229.112.146 or-kdr-razved34-p2 Героев-Разведчиков, д. 34
10.229.112.147 sd-kdr-razved34-p3 Героев-Разведчиков, д. 34
10.229.122.10 or-kdr-sormo204-5-p1 Сормовская, д. 204/к.5
10.229.122.9 sd-kdr-sormo204-5-p2 Сормовская, д. 204/к.5
10.229.122.8 sd-kdr-sormo204-7-p1 Сормовская, д. 204/к.7
10.229.122.7 sd-kdr-sormo204-7-p2 Сормовская, д. 204/к.7
10.229.122.6 sd-kdr-sormo204-7-p3 Сормовская, д. 204/к.7
10.229.122.62 sd-kdr-sormo208-p1 Сормовская, д. 208
10.229.122.4 sd-kdr-sormo208-p2 Сормовская, д. 208
10.229.122.5 sd-kdr-sormo208-p3 Сормовская, д. 208
10.229.122.67 or1-pash-gork30-p1 МаксГорького, д. 30
10.229.122.65 or2-pash-gork30-p1 МаксГорького, д. 30
10.229.122.70 sd-pash-gork32-p1 МаксГорького, д. 32
10.229.122.66 or-pash-gork32-p1 МаксГорького, д. 32
10.229.116.135 sd-kdr-obraz25-2-p1 Константина Образцова, д. 25/к.к2
10.229.116.137 or-kdr-obraz25-1-p1 Константина Образцова, д. 25/к.1
10.229.116.138 or-kdr-obraz25-1-p2 Константина Образцова, д. 25/к.1
10.229.116.136 or-kdr-obraz27-1-p1 Константина Образцова, д. 27/к.1
10.229.116.222 sd-kdr-obraz25-1 Константина Образцова, д. 25/к.к1
10.229.116.118 or-kdr-ishunina7-p1 Архитектора Ишунина, д. 7
